Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-3.7816;212;1.4277;300
3;visual;-4.256;216;4.9889;356
4;visual;-1.0822;208;6.4436;384
5;visual;-0.17208;148;7.367;364
6;visual;-2.3107;100;6.7742;468
7;visual;-1.9801;180;3.7517;404
8;visual;-1.8804;172;3.379;288
9;visual;-0.17958;216;1.6369;280
10;visual;-2.6689;164;4.4958;404
11;visual;-1.9293;144;6.6725;500
12;visual;-4.4125;164;7.6942;408
13;visual;-3.0154;300;0.60612;128
14;visual;-2.256;208;1.9987;352
15;visual;-3.3805;300;-1.4058;100
16;visual;-0.63165;100;14.7071;348
17;visual;-1.5032;300;7.6475;500
18;visual;-5.0757;176;6.1291;448
19;visual;0.0027843;180;4.8103;432
20;visual;-11.2041;300;5.0155;128
2;vibro;-4.1135;148;1.5692;316
3;vibro;-6.0722;208;6.2577;336
4;vibro;-1.8454;176;5.3005;364
5;vibro;-2.3972;180;4.4678;300
6;vibro;0.13947;184;8.167;332
7;vibro;-2.7373;172;4.3955;384
8;vibro;-1.765;160;3.4566;500
9;vibro;0.11135;160;4.258;232
10;vibro;-4.5584;160;2.5971;408
11;vibro;1.429;176;8.3262;344
12;vibro;-5.1041;156;4.1583;396
13;vibro;-5.1052;300;5.4268;500
14;vibro;-4.3337;284;-0.049244;116
15;vibro;-1.8104;208;-0.26185;296
16;vibro;2.3446;196;11.317;288
17;vibro;-3.2981;188;0.37226;104
18;vibro;-4.8466;132;6.4718;316
19;vibro;-2.7813;188;2.7375;460
20;vibro;-17.5463;300;2.526;100
