Participant;Congruency;Feedback;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;conflict;visual;-18.582;100;20.818;212
3;conflict;visual;-32.978;100;1.245;332
4;conflict;visual;0.73642;100;59.603;384
5;conflict;visual;-0.44659;108;55.081;356
6;conflict;visual;-2.721;100;3.401;468
7;conflict;visual;21.657;108;59.113;184
8;conflict;visual;0.26146;100;67.333;292
9;conflict;visual;0.2856;228;29.312;168
10;conflict;visual;16.949;100;91.032;256
11;conflict;visual;0.881;124;61.877;500
12;conflict;visual;-0.47125;100;61.818;208
13;conflict;visual;0.27766;100;63.808;380
14;conflict;visual;0.10304;100;61.921;244
15;conflict;visual;-2.184;128;21.571;204
16;conflict;visual;23.933;100;135.891;320
17;conflict;visual;24.839;100;68.089;200
18;conflict;visual;-0.094499;100;104.247;304
19;conflict;visual;1.728;148;50.213;232
20;conflict;visual;31.107;100;109.655;500
2;conflict;vibro;-0.85783;100;20.185;292
3;conflict;vibro;-0.27808;100;67.473;280
4;conflict;vibro;13.156;124;67.928;360
5;conflict;vibro;-0.53655;128;60.899;472
6;conflict;vibro;-0.91212;100;5.692;300
7;conflict;vibro;-0.32477;100;49.531;180
8;conflict;vibro;16.085;104;60.512;288
9;conflict;vibro;-11.772;136;56.915;220
10;conflict;vibro;37.227;100;104.425;252
11;conflict;vibro;15.576;100;86.388;216
12;conflict;vibro;19.796;160;29.131;104
13;conflict;vibro;13.211;100;87.586;440
14;conflict;vibro;12.417;100;28.085;500
15;conflict;vibro;-2.017;132;19.757;200
16;conflict;vibro;54.322;200;100.438;276
17;conflict;vibro;0.26155;164;35.544;248
18;conflict;vibro;0.33197;100;89.237;300
19;conflict;vibro;-0.13354;184;50.723;488
20;conflict;vibro;-36.288;164;58.438;492
2;;;;;;
3;;;;;;
4;;;;;;
5;;;;;;
6;;;;;;
7;;;;;;
8;;;;;;
9;;;;;;
10;;;;;;
11;;;;;;
12;;;;;;
13;;;;;;
14;;;;;;
15;;;;;;
16;;;;;;
17;;;;;;
18;;;;;;
19;;;;;;
20;;;;;;
2;;;;;;
3;;;;;;
4;;;;;;
5;;;;;;
6;;;;;;
7;;;;;;
8;;;;;;
9;;;;;;
10;;;;;;
11;;;;;;
12;;;;;;
13;;;;;;
14;;;;;;
15;;;;;;
16;;;;;;
17;;;;;;
18;;;;;;
19;;;;;;
20;;;;;;
