Participant;Congruency;Feedback;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;conflict;visual;-18.582;100;20.818;212
3;conflict;visual;-32.978;100;1.245;332
4;conflict;visual;0.73642;100;59.603;384
5;conflict;visual;-0.44659;108;55.081;356
6;conflict;visual;-2.721;100;3.401;468
7;conflict;visual;21.657;108;59.113;184
8;conflict;visual;0.26146;100;67.333;292
9;conflict;visual;0.2856;228;29.312;168
10;conflict;visual;16.949;100;91.032;256
11;conflict;visual;0.881;124;61.877;500
12;conflict;visual;-0.47125;100;61.818;208
13;conflict;visual;0.27766;100;63.808;380
14;conflict;visual;0.10304;100;61.921;244
15;conflict;visual;-2.184;128;21.571;204
16;conflict;visual;23.933;100;135.891;320
17;conflict;visual;24.839;100;68.089;200
18;conflict;visual;-0.094499;100;104.247;304
19;conflict;visual;1.728;148;50.213;232
20;conflict;visual;31.107;100;109.655;500
2;conflict;vibro;-0.85783;100;20.185;292
3;conflict;vibro;-0.27808;100;67.473;280
4;conflict;vibro;13.156;124;67.928;360
5;conflict;vibro;-0.53655;128;60.899;472
6;conflict;vibro;-0.91212;100;5.692;300
7;conflict;vibro;-0.32477;100;49.531;180
8;conflict;vibro;16.085;104;60.512;288
9;conflict;vibro;-11.772;136;56.915;220
10;conflict;vibro;37.227;100;104.425;252
11;conflict;vibro;15.576;100;86.388;216
12;conflict;vibro;19.796;160;29.131;104
13;conflict;vibro;13.211;100;87.586;440
14;conflict;vibro;12.417;100;28.085;500
15;conflict;vibro;-2.017;132;19.757;200
16;conflict;vibro;54.322;200;100.438;276
17;conflict;vibro;0.26155;164;35.544;248
18;conflict;vibro;0.33197;100;89.237;300
19;conflict;vibro;-0.13354;184;50.723;488
20;conflict;vibro;-36.288;164;58.438;492
2;normal;visual;12.732;100;60.752;212
3;normal;visual;-0.25147;100;72.104;224
4;normal;visual;-0.49415;108;64.982;208
5;normal;visual;19.418;100;56.826;192
6;normal;visual;0.90954;100;78.702;244
7;normal;visual;10.461;260;90.711;184
8;normal;visual;18.023;100;88.987;184
9;normal;visual;-0.60985;104;23.409;184
10;normal;visual;26.989;100;09. Mai;196
11;normal;visual;-0.71344;260;55.879;188
12;normal;visual;26.103;100;107.606;196
13;normal;visual;-0.41793;120;56.943;204
14;normal;visual;19.218;120;62.623;212
15;normal;visual;-0.70401;124;51.777;204
16;normal;visual;3.189;136;5.689;212
17;normal;visual;-0.32189;112;37.646;200
18;normal;visual;37.102;100;117.128;188
19;normal;visual;0.12114;120;45.089;220
20;normal;visual;0.84762;100;78.449;392
2;normal;vibro;0.77597;240;43.983;152
3;normal;vibro;17.709;100;134.049;228
4;normal;vibro;13.811;104;78.097;192
5;normal;vibro;21.223;100;68.116;180
6;normal;vibro;-0.44653;100;69.675;204
7;normal;vibro;0.24313;260;92.608;176
8;normal;vibro;20.275;252;88.216;172
9;normal;vibro;-28.491;112;16.925;188
10;normal;vibro;46.839;100;108.873;168
11;normal;vibro;-0.39394;260;79.236;188
12;normal;vibro;16.577;260;80.571;160
13;normal;vibro;0.23419;100;50.475;196
14;normal;vibro;0.40695;120;42.886;212
15;normal;vibro;-0.75173;124;41.426;200
16;normal;vibro;0.046136;260;2.484;192
17;normal;vibro;0.052577;100;34.949;200
18;normal;vibro;45.255;100;96.481;180
19;normal;vibro;21.118;100;48.918;232
20;normal;vibro;-17.993;116;82.833;380
