Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-4.0479;212;0.91893;304
3;visual;-3.6501;216;2.6954;340
4;visual;-2.6875;200;5.2171;500
5;visual;-5.0255;180;2.5666;364
6;visual;-5.2814;228;1.9022;448
7;visual;-3.4465;188;5.2908;396
8;visual;-3.1833;140;4.8814;308
9;visual;-2.1987;200;3.0619;284
10;visual;-5.4449;172;3.1224;436
11;visual;-2.2601;140;6.3334;500
12;visual;-3.2703;176;3.3521;412
13;visual;-5.0112;196;-1.6486;100
14;visual;-2.4448;100;2.2204;492
15;visual;-3.1394;204;1.6018;500
16;visual;-9.6927;100;3.2983;348
17;visual;1.0859;100;6.9726;424
18;visual;-6.3111;188;2.9042;444
19;visual;-0.54126;180;3.1116;424
20;visual;-1.8004;192;9.9391;360
2;vibro;-4.1808;144;1.8519;320
3;vibro;-6.5834;212;3.2898;368
4;vibro;-2.472;188;5.905;484
5;vibro;-6.0196;164;2.2861;480
6;vibro;-5.8408;208;2.9747;500
7;vibro;-4.3638;100;5.7923;380
8;vibro;-6.8091;128;2.2266;292
9;vibro;-2.0952;148;5.2654;236
10;vibro;-1.9154;152;3.7151;368
11;vibro;-4.8277;172;8.7468;392
12;vibro;-1.8512;164;3.5325;344
13;vibro;-1.6664;156;1.543;240
14;vibro;-1.6434;280;3.0759;500
15;vibro;-2.4343;200;0.066281;284
16;vibro;3.3562;216;6.9694;128
17;vibro;-1.4136;172;2.404;464
18;vibro;-5.6199;144;2.1766;404
19;vibro;-0.97429;200;3.141;376
20;vibro;-5.9216;172;7.4692;368
