Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-4.1249;212;0.52952;300
3;visual;-3.361;216;5.7421;356
4;visual;-1.0456;208;5.9822;384
5;visual;-0.29915;148;7.0704;364
6;visual;-2.7834;100;6.1754;468
7;visual;-2.2026;180;3.9209;408
8;visual;-1.7772;164;3.3067;284
9;visual;0.18644;216;1.9534;280
10;visual;-2.6467;164;4.3962;404
11;visual;-1.5301;140;6.6183;500
12;visual;-3.7064;168;6.6279;392
13;visual;-3.3974;300;0.77048;124
14;visual;-1.9899;208;1.9686;352
15;visual;-3.6828;300;-1.6675;100
16;visual;-2.1798;100;13.0088;352
17;visual;-2.0597;300;6.907;500
18;visual;-5.6851;176;5.3913;448
19;visual;0.087923;180;4.5213;424
20;visual;-11.189;300;4.9839;128
2;vibro;-4.4039;144;1.7504;316
3;vibro;-5.9761;208;6.2224;336
4;vibro;-1.5422;176;5.4964;364
5;vibro;-2.5183;180;4.0408;296
6;vibro;0.04325;184;7.9053;332
7;vibro;-2.6411;172;4.6789;376
8;vibro;-1.368;156;2.4354;500
9;vibro;0.11288;160;4.1704;232
10;vibro;-4.4734;160;2.4478;408
11;vibro;1.2848;176;8.0145;344
12;vibro;-4.1022;156;4.9595;312
13;vibro;-5.7583;300;4.6939;500
14;vibro;-3.803;284;0.36975;112
15;vibro;-1.9624;208;-0.44642;296
16;vibro;1.761;196;10.2179;288
17;vibro;-3.2874;188;0.22948;104
18;vibro;-5.5121;132;5.3469;320
19;vibro;-2.6308;188;2.7614;376
20;vibro;-17.301;300;2.6682;100
