Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-1.9454;300;0.25872;452
3;visual;-2.0211;100;0.017452;272
4;visual;-2.7941;152;0.27147;500
5;visual;-3.5593;300;-0.83952;152
6;visual;-5.4119;300;-1.221;500
7;visual;-3.6942;100;0.60161;276
8;visual;-3.3174;252;2.0756;336
9;visual;-2.4202;100;2.4353;404
10;visual;-1.2383;296;1.0131;128
11;visual;-1.9598;180;-0.92185;116
12;visual;-2.9942;300;1.8237;160
13;visual;-1.5815;216;6.0985;392
14;visual;-2.8276;300;0.79257;100
15;visual;0.7255;100;8.6221;500
16;visual;-5.6826;104;0.0198;276
17;visual;1.3025;140;4.5447;416
18;visual;-7.0799;240;1.2571;132
19;visual;-0.9;300;0.69567;164
20;visual;-1.4385;100;14.7298;356
2;vibro;-0.15604;100;2.8539;340
3;vibro;-3.2696;100;-0.82541;276
4;vibro;-2.9293;232;0.49868;164
5;vibro;-3.1754;300;-1.4517;500
6;vibro;-6.8922;228;-2.8618;500
7;vibro;-2.8452;100;1.0445;308
8;vibro;-1.8892;116;5.3679;328
9;vibro;-0.99133;100;4.3399;324
10;vibro;-1.0405;212;2.5035;136
11;vibro;-6.8324;216;-1.788;500
12;vibro;-3.2366;264;1.938;144
13;vibro;-2.9268;228;9.0493;356
14;vibro;-2.7117;264;2.9341;500
15;vibro;0.90977;100;4.4996;500
16;vibro;-1.79;300;8.6147;100
17;vibro;0.45154;208;2.9431;460
18;vibro;-5.5738;240;2.574;128
19;vibro;-0.7203;236;1.4636;156
20;vibro;-2.0386;168;14.2886;372
2;vibro;-0.15604;100;2.8539;340
3;vibro;-3.2696;100;-0.82541;276
4;vibro;-2.9293;232;0.49868;164
5;vibro;-3.1754;300;-1.4517;500
6;vibro;-6.8922;228;-2.8618;500
7;vibro;-2.8452;100;1.0445;308
8;vibro;-1.8892;116;5.3679;328
9;vibro;-0.99133;100;4.3399;324
10;vibro;-1.0405;212;2.5035;136
11;vibro;-6.8324;216;-1.788;500
12;vibro;-3.2366;264;1.938;144
13;vibro;-2.9268;228;9.0493;356
14;vibro;-2.7117;264;2.9341;500
15;vibro;0.90977;100;4.4996;500
16;vibro;-1.79;300;8.6147;100
17;vibro;0.45154;208;2.9431;460
18;vibro;-5.5738;240;2.574;128
19;vibro;-0.7203;236;1.4636;156
20;vibro;-2.0386;168;14.2886;372
