Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-1.8582;100;2.0818;212
3;visual;-3.2978;100;1.245;332
4;visual;0.73642;100;5.9603;384
5;visual;-0.44659;108;5.5081;356
6;visual;-2.721;100;3.401;468
7;visual;2.1657;108;5.9113;184
8;visual;0.26146;100;6.7333;292
9;visual;0.2856;228;2.9312;168
10;visual;1.6949;100;9.1032;256
11;visual;0.881;124;6.1877;500
12;visual;-0.47125;100;6.1818;208
13;visual;0.27766;100;6.3808;380
14;visual;0.10304;100;6.1921;244
15;visual;-2.184;128;2.1571;204
16;visual;2.3933;100;13.5891;320
17;visual;2.4839;100;6.8089;200
18;visual;-0.094499;100;10.4247;304
19;visual;1.728;148;5.0213;232
20;visual;3.85;100;10.9655;500
2;vibro;-0.85783;100;2.0185;292
3;vibro;-0.27808;100;6.7473;280
4;vibro;1.3156;124;6.7928;360
5;vibro;-0.53655;128;6.0899;472
6;vibro;-0.91212;100;5.692;300
7;vibro;-0.32477;100;4.9531;180
8;vibro;1.6085;104;6.0512;288
9;vibro;-1.1772;136;5.6915;220
10;vibro;3.7227;100;10.4425;252
11;vibro;1.5576;100;8.6388;216
12;vibro;1.9796;160;2.9131;104
13;vibro;1.3211;100;8.7586;440
14;vibro;1.2417;100;2.8085;500
15;vibro;-2.017;132;1.9757;200
16;vibro;5.4322;200;10.0438;276
17;vibro;0.26155;164;3.5544;248
18;vibro;0.33197;100;8.9237;300
19;vibro;-0.13354;184;5.0723;488
20;vibro;-3.6288;164;5.8438;492
