Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-3.4433;220;0.25347;468
3;visual;-2.3562;124;14.7349;316
4;visual;6.4475;168;16.6618;244
5;visual;-0.78122;196;16.9049;284
6;visual;-13.6184;220;9.4698;480
7;visual;-3.7024;100;11.7305;368
8;visual;1.0819;100;10.2774;304
9;visual;0.94687;136;4.7281;200
10;visual;5.0176;196;9.0905;488
11;visual;-7.3671;100;12.0984;500
12;visual;4.1808;156;15.0492;228
13;visual;-5.5763;260;5.1743;476
14;visual;-1.4876;104;11.0106;324
15;visual;-5.893;132;2.5616;352
16;visual;4.6821;148;21.817;364
17;visual;-4.3991;148;6.1257;376
18;visual;-13.4686;164;10.6544;428
19;visual;-1.2766;148;6.1115;212
20;visual;-2.5047;248;4.2485;412
2;vibro;-3.3385;220;13.7162;304
3;vibro;5.3333;100;14.832;356
4;vibro;-7.595;164;13.3993;376
5;vibro;-5.5933;192;2.946;248
6;vibro;-1.9313;100;10.5943;380
7;vibro;-1.4143;144;11.2951;208
8;vibro;11.4028;100;14.7471;328
9;vibro;-3.9937;132;16.1982;352
10;vibro;2.5497;156;14.2539;228
11;vibro;0.46937;100;-0.17679;164
12;vibro;-1.7605;100;12.6498;500
13;vibro;-6.6961;248;4.4364;412
14;vibro;-8.6729;260;1.4793;164
15;vibro;-3.4847;244;3.8697;164
16;vibro;19.7595;100;42.9464;356
17;vibro;-5.7975;236;-1.3706;360
18;vibro;-5.262;132;9.5348;208
19;vibro;0.47011;156;10.225;304
20;vibro;-8.1126;176;18.7301;500
