Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-3.9744;212;1.5434;304
3;visual;-8.5284;228;1.4639;352
4;visual;-1.3422;208;6.9316;392
5;visual;-3.8593;172;6.6753;364
6;visual;-4.6665;236;4.2987;396
7;visual;-3.0989;184;5.023;400
8;visual;-2.75;172;6.4857;304
9;visual;-0.91481;208;2.656;280
10;visual;-3.882;176;5.4893;400
11;visual;-0.9532;140;8.8542;500
12;visual;-5.4196;172;7.5761;408
13;visual;-3.4978;200;5.4392;456
14;visual;-2.5404;100;3.8889;348
15;visual;-2.6415;212;-1.42;124
16;visual;-0.84916;100;16.283;348
17;visual;2.1531;100;9.1408;480
18;visual;-4.5182;176;7.8054;448
19;visual;-0.95409;184;5.0963;432
20;visual;1.2359;208;6.7867;500
2;vibro;-3.7707;148;1.7976;320
3;vibro;-8.6445;216;4.7797;340
4;vibro;-2.2124;176;6.0611;372
5;vibro;-5.1572;168;5.1893;332
6;vibro;-4.0531;192;7.2218;348
7;vibro;-3.8595;172;6.1439;384
8;vibro;-2.9903;156;3.9713;376
9;vibro;-0.073809;156;6.0887;236
10;vibro;-3.5534;156;5.4221;368
11;vibro;-1.5134;176;8.693;364
12;vibro;-5.9174;160;5.0106;360
13;vibro;-2.2448;184;8.3001;440
14;vibro;-2.4778;260;0.35755;124
15;vibro;-2.0284;204;0.18677;292
16;vibro;3.2213;196;12.3266;292
17;vibro;-3.5946;176;1.1264;100
18;vibro;-5.1271;132;6.0879;324
19;vibro;-3.5956;192;3.5696;456
20;vibro;-5.7012;180;1.657;100
