Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;1.2732;100;6.0752;212
3;visual;-0.25147;100;7.2104;224
4;visual;-0.49415;108;6.4982;208
5;visual;1.9418;100;5.6826;192
6;visual;0.90954;100;7.8702;244
7;visual;1.0461;260;9.0711;184
8;visual;1.8023;100;8.8987;184
9;visual;-0.60985;104;2.3409;184
10;visual;2.6989;100;9.05;196
11;visual;-0.71344;260;5.5879;188
12;visual;2.6103;100;10.7606;196
13;visual;-0.41793;120;5.6943;204
14;visual;1.9218;120;6.2623;212
15;visual;-0.70401;124;5.1777;204
16;visual;3.189;136;5.689;212
17;visual;-0.32189;112;3.7646;200
18;visual;3.7102;100;11.7128;188
19;visual;0.12114;120;4.5089;220
20;visual;0.84762;100;7.8449;392
2;vibro;0.77597;240;4.3983;152
3;vibro;1.7709;100;13.4049;228
4;vibro;1.3811;104;7.8097;192
5;vibro;2.1223;100;6.8116;180
6;vibro;-0.44653;100;6.9675;204
7;vibro;0.24313;260;9.2608;176
8;vibro;2.0275;252;8.8216;172
9;vibro;-2.8491;112;1.6925;188
10;vibro;4.6839;100;10.8873;168
11;vibro;-0.39394;260;7.9236;188
12;vibro;1.6577;260;8.0571;160
13;vibro;0.23419;100;5.0475;196
14;vibro;0.40695;120;4.2886;212
15;vibro;-0.75173;124;4.1426;200
16;vibro;0.046136;260;2.484;192
17;vibro;0.052577;100;3.4949;200
18;vibro;4.5255;100;9.6481;180
19;vibro;2.1118;100;4.8918;232
20;vibro;-1.7993;116;8.2833;380
