Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-1.8509;100;2.1617;212
3;visual;-2.6316;100;-0.17447;300
4;visual;0.51466;100;6.9354;500
5;visual;-0.72486;100;3.7713;256
6;visual;-1.2061;100;5.1406;252
7;visual;1.1903;100;8.0426;180
8;visual;-0.11157;100;8.0311;184
9;visual;0.533;100;4.2889;284
10;visual;1.4089;100;8.3385;252
11;visual;0.62956;100;8.5451;208
12;visual;-0.78923;100;5.5668;208
13;visual;-3.5421;300;-0.95776;500
14;visual;0.50529;100;5.8355;312
15;visual;-1.1111;120;3.2237;208
16;visual;-2.6844;104;7.5119;316
17;visual;1.6398;100;5.5129;204
18;visual;-1.0865;100;8.0886;320
19;visual;0.92575;156;4.3465;240
20;visual;3.9483;100;11.5634;368
2;vibro;-0.87858;100;2.1537;296
3;vibro;-1.1807;100;4.5572;272
4;vibro;1.3478;112;7.4485;484
5;vibro;0.37395;128;5.9397;472
6;vibro;-0.14942;100;4.618;260
7;vibro;0.46738;100;9.673;180
8;vibro;1.9689;100;7.6119;296
9;vibro;-0.8508;132;7.7287;220
10;vibro;4.9153;100;10.3257;236
11;vibro;2.7608;100;9.3539;208
12;vibro;0.70292;288;3.32;196
13;vibro;-2.2727;120;0.39223;212
14;vibro;2.1025;288;4.5233;500
15;vibro;-0.33658;132;2.5195;500
16;vibro;5.0687;112;6.6996;260
17;vibro;1.5121;160;4.3892;240
18;vibro;-0.28948;100;7.1533;312
19;vibro;1.5597;184;5.2141;264
20;vibro;-1.7669;160;8.4522;256
