Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-1.8212;100;2.1008;212
3;visual;-3.2193;100;1.438;328
4;visual;0.78796;100;6.0089;384
5;visual;-0.38876;108;5.4551;356
6;visual;-2.7395;100;3.5255;468
7;visual;2.2085;104;6.0075;188
8;visual;0.297;100;6.8564;292
9;visual;0.41673;228;2.9822;168
10;visual;1.8188;100;9.1403;256
11;visual;0.85306;124;6.2931;500
12;visual;-0.31605;100;6.4604;208
13;visual;0.20327;100;6.2081;376
14;visual;0.12913;100;6.3148;244
15;visual;-2.124;124;2.2266;204
16;visual;2.5534;100;13.4415;324
17;visual;2.4975;100;6.7002;200
18;visual;-0.072057;100;10.504;304
19;visual;1.6872;148;5.0798;232
20;visual;3.7931;100;11.0141;500
2;vibro;-0.80439;100;2.19;296
3;vibro;-0.16155;100;6.9034;280
4;vibro;1.3091;124;6.9244;360
5;vibro;-0.63954;124;6.019;472
6;vibro;-0.99007;100;5.5864;300
7;vibro;-0.15162;100;5.1501;180
8;vibro;2.138;100;6.2451;288
9;vibro;-1.317;136;5.7694;220
10;vibro;3.8864;100;10.5297;252
11;vibro;1.5126;100;8.679;216
12;vibro;1.561;300;3.1253;216
13;vibro;1.4173;100;8.8356;436
14;vibro;0.71957;292;2.7824;500
15;vibro;-2.0242;132;2.1005;200
16;vibro;6.2291;100;10.4569;276
17;vibro;0.2766;164;3.4602;248
18;vibro;0.46918;100;8.973;300
19;vibro;-0.16087;180;4.2481;264
20;vibro;-3.7037;164;5.7424;496
