Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-1.8315;100;2.0654;212
3;visual;-0.82514;100;3.2774;304
4;visual;0.6744;100;5.4821;300
5;visual;0.31158;120;6.3423;364
6;visual;-2.104;100;4.4352;448
7;visual;1.2442;120;3.9654;192
8;visual;0.31787;100;4.7004;192
9;visual;-0.66749;236;2.6149;172
10;visual;1.459;100;7.7531;260
11;visual;-0.95339;268;4.4226;500
12;visual;0.0055126;100;5.716;204
13;visual;-1.3041;124;2.9647;460
14;visual;-1.5055;108;2.7908;240
15;visual;-2.9426;128;0.94264;200
16;visual;2.2401;100;11.3459;328
17;visual;-0.099972;108;9.0309;500
18;visual;-1.1877;100;7.4291;300
19;visual;2.2874;140;4.8875;228
20;visual;2.9184;100;12.2589;500
2;vibro;-1.1605;100;2.1023;296
3;vibro;0.7183;100;7.3279;280
4;vibro;0.29021;136;6.9875;244
5;vibro;-1.0706;120;3.5026;276
6;vibro;0.10907;100;4.4155;304
7;vibro;-0.49508;112;3.8849;388
8;vibro;0.15819;120;3.6752;388
9;vibro;-2.463;140;2.6389;216
10;vibro;2.0795;100;7.102;252
11;vibro;0.84086;280;4.9475;204
12;vibro;0.10693;300;1.4794;100
13;vibro;-0.79202;108;6.0965;500
14;vibro;-2.243;300;1.0455;192
15;vibro;-3.3909;132;0.75129;200
16;vibro;4.8436;208;9.1305;276
17;vibro;-0.46394;152;1.5205;500
18;vibro;0.53247;100;7.8591;296
19;vibro;-0.093414;176;3.416;256
20;vibro;-4.2583;168;12.3708;500
