Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;0.4646;292;2.5781;156
3;visual;-5.023;292;2.5986;500
4;visual;-5.848;184;-0.076808;100
5;visual;-4.6735;184;1.9348;100
6;visual;-10.5307;184;0.21901;100
7;visual;-11.1642;176;-0.14879;500
8;visual;-8.309;176;1.1923;104
9;visual;-3.0314;184;0.7004;464
10;visual;-10.0054;256;-0.23975;100
11;visual;-6.8712;176;0.90869;100
12;visual;-6.4217;208;-1.5182;100
13;visual;4.2618;300;9.8726;124
14;visual;-12.8177;300;-0.54376;100
15;visual;0.57399;184;6.5838;120
16;visual;-2.1073;176;4.0105;436
17;visual;-5.3681;180;0.52821;108
18;visual;-7.8319;168;1.6662;384
19;visual;-2.1116;224;-1.4429;144
20;visual;3.5785;180;9.0596;316
2;vibro;0.57516;284;4.4252;124
3;vibro;-7.9933;292;0.10382;500
4;vibro;-6.2725;300;-0.24859;124
5;vibro;-4.775;176;0.88048;104
6;vibro;-7.8782;248;-3.0989;100
7;vibro;-9.7341;176;0.83597;104
8;vibro;-5.9129;176;1.3818;108
9;vibro;-4.9847;208;3.4823;132
10;vibro;-7.989;204;0.8818;476
11;vibro;-6.6777;180;-1.4038;100
12;vibro;-1.4788;184;1.5879;272
13;vibro;-3.7888;300;6.3549;116
14;vibro;-4.6839;220;-1.325;136
15;vibro;-1.3545;196;2.3951;124
16;vibro;-4.6658;280;5.8691;104
17;vibro;-1.5204;180;6.3054;116
18;vibro;-10.481;180;1.622;100
19;vibro;-2.4019;260;0.48133;184
20;vibro;4.1296;216;6.7575;300
