Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-0.83557;296;2.2552;168
3;visual;-1.1754;100;-0.12211;220
4;visual;-0.024082;100;2.2354;500
5;visual;-2.1662;300;0.05873;124
6;visual;-0.092205;168;2.0456;488
7;visual;-1.4826;100;2.243;192
8;visual;-0.78776;256;3.2636;172
9;visual;0.39081;100;4.8989;288
10;visual;-0.59867;276;1.1459;444
11;visual;-2.0792;296;2.0469;140
12;visual;-4.8056;128;0.99145;212
13;visual;0.64985;100;3.0493;252
14;visual;-1.5908;300;1.213;100
15;visual;1.6081;172;4.0955;240
16;visual;-2.4865;140;2.5557;312
17;visual;1.9858;100;4.2218;232
18;visual;-3.4037;160;2.9772;380
19;visual;-2.2393;152;1.2307;272
20;visual;3.4767;100;8.4575;300
2;vibro;0.78668;268;3.9861;144
3;vibro;-1.1711;100;0.076195;220
4;vibro;-2.9011;228;3.6384;160
5;vibro;-0.15788;296;1.7133;116
6;vibro;-0.19454;100;2.263;500
7;vibro;0.80794;100;5.0969;192
8;vibro;-0.67191;228;3.548;160
9;vibro;3.2556;100;7.5807;288
10;vibro;1.0907;220;3.4248;128
11;vibro;0.6698;220;4.7297;148
12;vibro;-2.5192;300;2.5298;196
13;vibro;1.224;188;3.5455;344
14;vibro;-0.045817;284;5.3359;112
15;vibro;1.5352;188;4.6302;264
16;vibro;-4.6466;300;2.7057;100
17;vibro;1.6379;300;3.1408;128
18;vibro;-5.0699;160;1.6622;332
19;vibro;-0.62776;176;1.634;280
20;vibro;2.0497;100;6.6786;268
