Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
3;visual;1.0038;100;6.3531;220
4;visual;-0.96619;116;5.0101;208
5;visual;-0.77265;300;3.4713;196
6;visual;-0.024324;300;3.3154;228
7;visual;0.093505;104;5.7761;184
8;visual;0.91311;300;6.0983;184
9;visual;-1.2163;108;1.3411;184
10;visual;2.0619;100;6.2609;184
11;visual;-2.3503;288;4.2932;188
12;visual;0.29873;300;8.5763;188
13;visual;-2.0276;128;11.182;408
14;visual;-0.73463;132;4.719;216
15;visual;-1.4333;124;8.8781;500
16;visual;-0.73205;300;3.7537;204
17;visual;-0.64661;124;6.0941;324
18;visual;2.7454;100;9.4213;184
19;visual;-0.401;120;3.4518;216
20;visual;-1.8796;112;20.736;384
2;vibro;0.5967;240;4.2177;156
3;vibro;1.5666;100;10.7693;224
4;vibro;-0.054204;108;6.844;200
5;vibro;-1.3502;300;3.4258;184
6;vibro;-2.1788;300;2.5928;188
7;vibro;-0.59763;100;5.1284;176
8;vibro;1.3291;100;5.3618;176
9;vibro;-3.51;112;0.39907;184
10;vibro;2.3222;100;8.1649;168
11;vibro;-5.8169;292;3.0685;192
12;vibro;-2.7205;300;6.0683;160
13;vibro;-3.6117;116;13.0285;352
14;vibro;-2.2114;116;4.1369;500
15;vibro;-1.6456;280;2.5976;200
16;vibro;-1.9612;300;2.4521;180
17;vibro;-1.5406;108;4.0581;444
18;vibro;1.6987;300;8.6177;172
19;vibro;0.66108;100;3.271;216
20;vibro;-4.4242;124;20.9795;384
