Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
3;visual;-7.5463;160;3.6959;444
4;visual;-9.426;192;1.8741;104
5;visual;-5.0799;184;0.34241;104
6;visual;-7.6302;188;1.2686;436
7;visual;-10.3174;172;3.4382;336
8;visual;-7.789;164;-0.011897;100
9;visual;-2.8988;180;2.2741;348
10;visual;-9.8513;156;1.4442;500
11;visual;-5.7395;164;5.6055;500
12;visual;-8.1339;172;3.6263;500
13;visual;-5.818;300;2.1642;116
14;visual;-9.8227;276;-1.0731;496
15;visual;-4.7387;188;2.9816;116
16;visual;-4.7779;280;6.5413;112
17;visual;-4.6422;300;3.8628;112
18;visual;-10.3501;168;0.77165;460
19;visual;-2.8295;216;-0.10596;124
20;visual;-11.0655;300;5.4088;108
2;vibro;-2.4043;300;1.3915;100
3;vibro;-9.3077;160;3.0795;500
4;vibro;-9.2269;196;1.9186;104
5;vibro;-6.4534;176;0.5614;104
6;vibro;-7.9258;184;3.6845;368
7;vibro;-11.9348;168;2.6984;244
8;vibro;-4.643;156;1.0404;220
9;vibro;-3.0519;188;3.9819;500
10;vibro;-8.8691;148;0.68731;448
11;vibro;-4.4047;172;2.9011;332
12;vibro;-4.8292;256;5.3577;480
13;vibro;-4.9817;300;7.3451;124
14;vibro;-6.7103;292;0.24664;128
15;vibro;-2.0349;192;2.4404;120
16;vibro;-6.8539;188;2.3361;360
17;vibro;-4.3139;300;1.2845;108
18;vibro;-10.1393;160;-0.78471;324
19;vibro;-2.4591;300;-0.87566;160
20;vibro;-10.3358;300;6.5272;120
