Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
3;visual;-1.1435;280;2.1824;484
4;visual;0.04553;100;3.4935;332
5;visual;0.86562;168;2.0615;236
6;visual;1.1801;100;7.2893;252
7;visual;-0.66389;272;3.9771;192
8;visual;-1.0699;300;3.5285;168
9;visual;1.8979;224;3.8442;152
10;visual;-0.549;136;1.9353;212
11;visual;-1.2646;300;2.8595;152
12;visual;-4.4137;132;2.8309;228
13;visual;1.463;152;4.7643;228
14;visual;-1.1235;176;1.7335;452
15;visual;-0.062449;172;1.9725;236
16;visual;-0.55596;272;2.5683;100
17;visual;0.20544;300;2.4454;228
18;visual;-4.8435;148;5.7681;236
19;visual;-3.0932;156;2.3721;500
20;visual;-5.0588;300;3.7904;196
2;vibro;-0.63912;300;1.2294;188
3;vibro;-0.30857;280;2.1301;204
4;vibro;-0.53379;224;3.0034;152
5;vibro;2.3561;172;2.7703;452
6;vibro;1.9402;100;7.1666;240
7;vibro;0.68872;272;6.1139;184
8;vibro;-2.8367;300;4.6326;140
9;vibro;2.5562;300;4.8634;148
10;vibro;0.47401;148;1.7098;500
11;vibro;3.1422;300;7.7117;144
12;vibro;-2.736;128;2.9397;212
13;vibro;-1.4129;300;5.5435;236
14;vibro;0.73711;176;5.3294;116
15;vibro;-0.0081633;180;2.5987;252
16;vibro;-7.1666;156;-1.2504;356
17;vibro;0.087936;300;2.4628;236
18;vibro;-5.5786;144;4.6144;232
19;vibro;-1.9768;164;3.1979;264
20;vibro;-3.9892;300;4.6032;192
