Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-3.9741;212;1.2352;300
3;visual;-3.4615;216;5.7834;356
4;visual;-1.1143;208;6.4115;384
5;visual;-0.32252;148;7.2166;364
6;visual;-2.8489;100;6.2361;468
7;visual;-1.9545;180;3.7772;404
8;visual;-2.087;172;3.1725;288
9;visual;0.18559;216;2.002;280
10;visual;-2.8411;164;4.3237;404
11;visual;-1.9011;144;6.7008;500
12;visual;-4.3253;164;7.7814;408
13;visual;-2.8344;300;0.78717;128
14;visual;-2.1819;208;2.0729;352
15;visual;-3.7178;300;-1.7431;100
16;visual;-2.0613;100;13.2774;348
17;visual;-1.9966;300;7.1541;500
18;visual;-5.7252;176;5.4796;448
19;visual;0.022651;180;4.8302;432
20;visual;-11.1729;300;5.0467;128
2;vibro;-4.2757;148;1.4071;316
3;vibro;-6.0026;208;6.3272;336
4;vibro;-1.5815;176;5.5644;364
5;vibro;-2.5201;180;4.3449;300
6;vibro;-0.014123;184;8.0134;332
7;vibro;-2.479;172;4.6538;384
8;vibro;-2.2873;160;2.9343;500
9;vibro;0.1174;160;4.264;232
10;vibro;-4.5503;160;2.6052;408
11;vibro;1.2548;176;8.152;344
12;vibro;-4.693;156;4.5694;396
13;vibro;-5.1253;300;5.4066;500
14;vibro;-3.881;284;0.40346;116
15;vibro;-1.9948;208;-0.44622;296
16;vibro;1.8722;196;10.8446;288
17;vibro;-3.4492;188;0.22111;104
18;vibro;-5.5587;132;5.7597;316
19;vibro;-2.7974;188;2.7214;460
20;vibro;-17.3768;300;2.6954;100
