Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-4.6129;0.512;1.3177;0.604
3;visual;-6.1617;0.532;4.0091;0.632
6;visual;-5.7128;0.52;4.4288;0.724
7;visual;-3.2421;0.484;5.6838;0.696
8;visual;-3.9906;0.464;6.2643;0.608
11;visual;-3.6987;0.408;7.7985;0.788
12;visual;-5.374;0.46;8.0338;0.716
13;visual;-4.1156;0.5;5.9859;0.756
14;visual;-2.6322;0.388;3.4312;0.644
15;visual;-3.0678;0.5;-1.239;0.428
16;visual;-2.1673;0.372;9.2523;0.656
2;vibro;-4.3674;0.436;2.3193;0.62
3;vibro;-7.886;0.524;5.8823;0.652
6;vibro;-3.9767;0.496;7.8947;0.64
7;vibro;-3.9417;0.476;6.9375;0.708
8;vibro;-5.3703;0.468;3.1879;0.656
11;vibro;-2.2804;0.48;10.4823;0.716
12;vibro;-5.4789;0.468;5.38;0.664
13;vibro;-3.5255;0.5;8.4035;0.736
14;vibro;-3.692;0.584;0.55327;0.436
15;vibro;-3.0888;0.8;-0.33374;0.416
16;vibro;-5.1541;0.356;6.9575;0.62
2;ems;-4.2785;0.428;3.1975;0.648
3;ems;-9.2116;0.524;6.2101;0.712
6;ems;-3.8157;0.532;10.0086;0.692
7;ems;-8.8664;0.456;6.7825;0.6
8;ems;-5.6136;0.464;5.1993;0.544
11;ems;-10.2491;0.46;7.4891;0.768
12;ems;-7.122;0.484;6.9068;0.68
13;ems;-3.2919;0.52;6.1303;0.668
14;ems;-9.4996;0.46;0.96491;0.792
15;ems;-6.4117;0.48;1.0967;0.4
16;ems;-7.575;0.444;2.5248;0.596
