Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-4.4329;212;1.3438;392
3;visual;-4.2204;212;2.4498;340
6;visual;-5.4099;244;2.8578;436
7;visual;-4.4962;184;5.4583;404
8;visual;-4.5689;100;4.4601;396
11;visual;-6.7484;100;5.2342;500
12;visual;-3.1478;164;4.0898;404
13;visual;-4.7913;184;-1.2757;112
14;visual;-3.3848;104;1.6911;496
15;visual;-1.3687;216;2.8337;476
16;visual;-5.6663;100;2.5712;376
2;vibro;-5.243;140;1.8852;324
3;vibro;-8.7013;208;2.714;308
6;vibro;-7.2029;204;3.5633;500
7;vibro;-4.03;156;6.1436;368
8;vibro;-6.8746;140;2.8455;288
11;vibro;-4.4454;168;9.7275;372
12;vibro;-2.2159;184;3.6673;360
13;vibro;-3.1468;160;0.78616;248
14;vibro;-3.7476;280;1.5276;500
15;vibro;-2.2792;192;0.36839;284
16;vibro;-3.9359;196;0.0166;304
2;ems;-3.8903;124;3.0537;324
3;ems;-4.6856;116;7.3888;320
6;ems;-4.9118;208;5.4572;396
7;ems;-7.2404;156;8.8749;324
8;ems;-3.7921;100;5.6343;280
11;ems;-6.157;180;8.0785;360
12;ems;-2.9674;172;5.2202;500
13;ems;-1.0935;204;1.5303;276
14;ems;-8.5466;164;0.56773;500
15;ems;-6.5714;172;3.4922;500
16;ems;-1.5017;172;2.6918;292
