Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-4.0437;200;1.5553;392
3;visual;-4.6655;200;4.7112;348
6;visual;-4.5058;200;3.7509;460
7;visual;-5.0933;180;7.0285;400
8;visual;-3.4023;168;5.9245;384
11;visual;-3.0582;120;6.5198;500
12;visual;-4.7086;164;8.7983;408
13;visual;-2.9304;192;5.9583;452
14;visual;-0.96617;120;3.4838;292
15;visual;-1.9744;200;-1.1508;348
16;visual;-0.32;200;8.2304;368
2;vibro;-5.2559;140;1.5163;328
3;vibro;-8.9799;200;4.8846;368
6;vibro;-5.3368;196;8.4516;340
7;vibro;-5.994;160;6.092;364
8;vibro;-4.6679;148;4.2641;500
11;vibro;-0.36703;172;12.7482;340
12;vibro;-5.6494;164;5.3057;364
13;vibro;-2.3321;180;9.6822;436
14;vibro;-1.2235;200;1.1847;104
15;vibro;-2.3073;184;-0.43829;300
16;vibro;-6.5802;188;4.9257;300
2;ems;-4.015;124;2.9181;324
3;ems;-5.614;200;5.8481;416
6;ems;-3.7425;200;9.8023;388
7;ems;-7.8723;168;6.1815;308
8;ems;-5.509;160;5.0735;244
11;ems;-7.7585;184;4.5621;488
12;ems;-6.576;176;5.1193;360
13;ems;-2.4297;132;5.4361;384
14;ems;-9.2884;164;0.81519;500
15;ems;-6.3179;176;0.93609;100
16;ems;-6.5179;132;2.1296;304
