Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-4.3393;0.512;1.2956;0.604
3;visual;-3.3695;0.508;5.6446;0.632
6;visual;-3.1958;0.36;5.7577;0.752
7;visual;-1.8358;0.48;4.6279;0.724
8;visual;-3.0747;0.456;4.1302;0.6
11;visual;-2.8244;0.448;7.3475;0.788
12;visual;-4.9965;0.456;7.883;0.712
13;visual;-7.6902;0.704;0.96565;0.416
14;visual;-3.0672;0.496;2.3924;0.644
15;visual;-10.4335;0.8;-0.31571;0.456
16;visual;-2.188;0.296;7.2249;0.66
2;vibro;-4.7334;0.436;2.2496;0.62
3;vibro;-4.6503;0.52;6.5251;0.648
6;vibro;-1.2127;0.232;8.9883;0.636
7;vibro;-2.409;0.472;5.3591;0.708
8;vibro;-3.7959;0.436;2.1539;0.8
11;vibro;-0.86103;0.236;9.4639;0.636
12;vibro;-5.1317;0.476;4.6416;0.704
13;vibro;-10.0939;0.664;4.5445;0.8
14;vibro;-5.394;0.8;1.6508;0.432
15;vibro;-4.3619;0.8;-0.098796;0.588
16;vibro;-5.9783;0.488;5.5046;0.588
2;ems;-4.5178;0.428;3.0554;0.648
3;ems;-6.4865;0.52;5.4913;0.712
6;ems;-0.89602;0.536;9.4592;0.664
7;ems;-5.6633;0.464;4.9667;0.6
8;ems;-3.6502;0.468;3.2729;0.544
11;ems;-9.0854;0.464;5.5572;0.768
12;ems;-6.787;0.484;6.2682;0.736
13;ems;-10.0552;0.648;6.1608;0.8
14;ems;-8.0735;0.464;0.40019;0.4
15;ems;-9.9463;0.78;-0.33147;0.4
16;ems;-9.9725;0.444;3.6712;0.6
