Participant;Condition;Min_Peak_Amplitude;Min_Peak_Latency;Max_Peak_Amplitude;Max_Peak_Latency
2;visual;-4.0905;216;1.2737;292
3;visual;-2.9344;212;5.7628;340
6;visual;-3.3053;100;6.0635;500
7;visual;-3.076;172;5.6061;400
8;visual;-2.2375;156;3.5758;388
11;visual;-3.3845;108;6.6357;500
12;visual;-4.379;148;8.0757;408
13;visual;-2.6709;300;0.57076;132
14;visual;-2.5409;216;0.45319;460
15;visual;-2.2804;276;-0.30578;152
16;visual;-1.3985;100;6.8518;376
2;vibro;-5.7202;144;1.4571;328
3;vibro;-5.3269;208;5.3584;328
6;vibro;-0.21324;188;10.6754;332
7;vibro;-3.7854;160;5.409;364
8;vibro;-4.3163;144;3.175;500
11;vibro;2.3067;180;13.0888;336
12;vibro;-5.3941;160;2.8789;376
13;vibro;-1.0794;184;2.778;116
14;vibro;-3.6041;276;2.7104;100
15;vibro;-2.1947;168;-0.67216;304
16;vibro;-7.1538;192;4.763;300
2;ems;-4.1762;124;2.9102;324
3;ems;-6.1481;220;5.2176;408
6;ems;0.15629;220;7.9102;388
7;ems;-5.1939;172;4.5549;292
8;ems;-3.4575;156;2.1458;232
11;ems;-6.905;188;3.4632;492
12;ems;-5.987;180;5.4447;376
13;ems;-5.7768;300;5.8893;500
14;ems;-7.3717;160;0.060063;100
15;ems;-4.8872;168;-1.1299;248
16;ems;-9.4452;136;3.3213;300
