subject;condition;congruency;RT
5;vibro;normal;0.072
5;vibro;normal;0.054
5;vibro;normal;0.022
5;vibro;normal;0.058
5;vibro;normal;0.084
5;vibro;conflict;0.188
5;vibro;normal;0.046
5;vibro;normal;0
5;vibro;normal;0.128
5;vibro;normal;0.052
5;vibro;conflict;0.188
5;vibro;normal;0.01
5;vibro;conflict;0.236
5;vibro;normal;0
5;vibro;normal;0.028
5;vibro;conflict;0.266
5;vibro;normal;0
5;vibro;normal;0.024
5;vibro;normal;0.062
5;vibro;conflict;0.256
5;vibro;normal;0
5;vibro;normal;0
5;vibro;normal;0.026
5;vibro;normal;0.018
5;vibro;normal;0.02
5;vibro;conflict;0.168
5;vibro;normal;0.018
5;vibro;normal;0.072
5;vibro;normal;0.064
5;vibro;normal;0
5;vibro;conflict;0.304
5;vibro;normal;0.162
5;vibro;conflict;0.252
5;vibro;normal;0.008
5;vibro;normal;0.124
5;vibro;conflict;0.27
5;vibro;normal;0.038
5;vibro;normal;0
5;vibro;normal;0.01
5;vibro;conflict;0.234
5;vibro;normal;0.752
5;vibro;normal;0.004
5;vibro;normal;0.076
5;vibro;normal;0
5;vibro;normal;0.112
5;vibro;conflict;0.216
5;vibro;normal;0.096
5;vibro;normal;0.042
5;vibro;normal;0.022
5;vibro;normal;0.036
5;vibro;conflict;0.184
5;vibro;normal;0.98
5;vibro;conflict;0.188
5;vibro;normal;0.024
5;vibro;normal;0
5;vibro;conflict;0.162
5;vibro;normal;0.03
5;vibro;normal;0.034
5;vibro;normal;0.024
5;vibro;conflict;0.25
5;vibro;normal;0.006
5;vibro;normal;0.12
5;vibro;normal;0.044
5;vibro;normal;0.058
5;vibro;normal;0.016
5;vibro;conflict;0.264
5;vibro;normal;0
5;vibro;normal;0
5;vibro;normal;0.07
5;vibro;normal;0.074
5;vibro;conflict;0.276
5;vibro;normal;0
5;vibro;conflict;0.19
5;vibro;normal;0.004
5;vibro;normal;0.04
5;vibro;conflict;0.22
5;vibro;normal;0.044
5;vibro;normal;0.004
5;vibro;normal;0.026
5;vibro;conflict;0.186
5;vibro;normal;0.176
5;vibro;normal;0.112
5;vibro;normal;0.104
5;vibro;normal;0.05
5;vibro;normal;0.1
5;vibro;conflict;0.212
5;vibro;normal;0.148
5;vibro;normal;0.194
5;vibro;normal;0.154
5;vibro;normal;0.086
5;vibro;conflict;0.234
5;vibro;normal;0.16
5;vibro;conflict;0.218
5;vibro;normal;0.064
5;vibro;normal;0.156
5;vibro;conflict;0.258
5;vibro;normal;0.092
5;vibro;normal;0.082
5;vibro;normal;0.054
5;vibro;conflict;0.256
5;vibro;normal;0
5;vibro;normal;0.092
5;vibro;normal;0.172
5;vibro;normal;0.108
5;vibro;normal;0.132
5;vibro;conflict;0.222
5;vibro;normal;0.158
5;vibro;normal;0.116
5;vibro;normal;0.084
5;vibro;normal;0.086
5;vibro;conflict;0.246
5;vibro;normal;0.148
5;vibro;conflict;0.228
5;vibro;normal;0.074
5;vibro;normal;0.12
5;vibro;conflict;0.214
5;vibro;normal;0
5;vibro;normal;0.092
5;vibro;normal;0
5;vibro;conflict;0.244
5;vibro;normal;0.124
5;vibro;normal;0.07
5;vibro;normal;0.072
5;vibro;normal;0.232
