subject;condition;congruency;RT
6;ems;normal;0.104
6;ems;normal;0
6;ems;normal;0
6;ems;normal;0
6;ems;normal;0
6;ems;conflict;0.378
6;ems;normal;0
6;ems;normal;0.058
6;ems;normal;0.048
6;ems;conflict;0.384
6;ems;normal;0
6;ems;normal;0
6;ems;normal;0
6;ems;normal;0
6;ems;conflict;0.376
6;ems;normal;0.112
6;ems;conflict;0.29
6;ems;normal;0.068
6;ems;normal;0.136
6;ems;conflict;0.328
6;ems;normal;0
6;ems;normal;0
6;ems;normal;0
6;ems;normal;0.02
6;ems;normal;0.03
6;ems;conflict;0.308
6;ems;normal;0.156
6;ems;normal;0.114
6;ems;normal;0
6;ems;conflict;0.372
6;ems;normal;0
6;ems;normal;0
6;ems;normal;0.05
6;ems;normal;0
6;ems;conflict;0.276
6;ems;normal;0
6;ems;conflict;0.334
6;ems;normal;0
6;ems;normal;0.09
6;ems;conflict;0.336
6;ems;normal;0.138
6;ems;normal;0.038
6;ems;normal;0
6;ems;normal;0.106
6;ems;normal;0
6;ems;conflict;0.298
6;ems;normal;0.042
6;ems;normal;0.154
6;ems;normal;0.066
6;ems;conflict;0.324
6;ems;normal;0.024
6;ems;normal;0.126
6;ems;normal;0.172
6;ems;normal;0.004
6;ems;conflict;0.322
6;ems;normal;0
6;ems;conflict;0.286
6;ems;normal;0
6;ems;normal;0
6;ems;conflict;0.38
6;ems;normal;0
6;ems;normal;0.022
6;ems;normal;0.136
6;ems;normal;0
6;ems;normal;0
6;ems;conflict;0.352
6;ems;normal;0.108
6;ems;normal;0.074
6;ems;normal;0
6;ems;conflict;0.322
6;ems;normal;0
6;ems;normal;0.078
6;ems;normal;0
6;ems;normal;0.09
6;ems;conflict;0.316
6;ems;normal;0.104
6;ems;conflict;0.316
6;ems;normal;0.096
6;ems;normal;0.076
6;ems;conflict;0.308
6;ems;normal;0
6;ems;normal;0.054
6;ems;normal;0.078
6;ems;normal;0.046
6;ems;normal;0
6;ems;conflict;0.304
6;ems;normal;0
6;ems;normal;0
6;ems;normal;0
6;ems;conflict;0.308
6;ems;normal;0.076
6;ems;normal;0.108
6;ems;normal;0.144
6;ems;normal;0.156
6;ems;conflict;0.292
6;ems;normal;0.036
6;ems;conflict;0.26
6;ems;normal;0.026
6;ems;normal;0
6;ems;conflict;0.24
6;ems;normal;0
6;ems;normal;0.13
6;ems;normal;0.11
6;vibro;normal;0
6;vibro;normal;0.18
6;vibro;conflict;0.35
6;vibro;normal;0.162
6;vibro;normal;0
6;vibro;normal;0
6;vibro;normal;0
6;vibro;normal;0
6;vibro;conflict;0.41
6;vibro;normal;0
6;vibro;conflict;0.356
6;vibro;normal;0.144
6;vibro;normal;0.09
6;vibro;normal;0
6;vibro;normal;0.126
6;vibro;conflict;0.372
6;vibro;normal;0.058
6;vibro;normal;0
6;vibro;normal;0
6;vibro;conflict;0.332
6;vibro;normal;0
6;vibro;normal;0.052
6;vibro;conflict;0.322
6;vibro;normal;0
6;vibro;normal;0
6;vibro;normal;0
6;vibro;normal;0
6;vibro;normal;0.08
6;vibro;conflict;0.36
6;vibro;normal;0
6;vibro;conflict;0.274
6;vibro;normal;0.116
6;vibro;normal;0
6;vibro;normal;0
6;vibro;normal;0.018
6;vibro;conflict;0.322
6;vibro;normal;0.144
6;vibro;normal;0
6;vibro;normal;0
6;vibro;conflict;0.37
6;vibro;normal;0.058
6;vibro;normal;0.036
6;vibro;conflict;0.304
6;vibro;normal;0
6;vibro;normal;0
6;vibro;normal;0.096
6;vibro;normal;0
6;vibro;normal;0.054
6;vibro;conflict;0.276
6;vibro;normal;0
6;vibro;conflict;0.378
6;vibro;normal;0.022
6;vibro;normal;0.012
6;vibro;normal;0.192
6;vibro;normal;0.136
6;vibro;conflict;0.426
6;vibro;normal;0.104
6;vibro;normal;0.026
6;vibro;normal;0
6;vibro;conflict;0.386
6;vibro;normal;0
6;vibro;normal;0
6;vibro;conflict;0.368
6;vibro;normal;0.076
